name,name1,nationality,nationality1,dob,dob1,occupation,occupation1
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/ArcelorMittal,http://dbpedia.org/resource/Arcelor_Mittal
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Lakshmi_Mittal__PersonFunction__1,http://dbpedia.org/resource/Arcelor_Mittal
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.,Chairman & CEO of
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/ArcelorMittal,Chairman & CEO of
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Lakshmi_Mittal__PersonFunction__1,Chairman & CEO of
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.,Co-owner of
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/ArcelorMittal,Co-owner of
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Lakshmi_Mittal__PersonFunction__1,Co-owner of
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.,Owner of Karrick Limited
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/ArcelorMittal,Owner of Karrick Limited
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Lakshmi_Mittal__PersonFunction__1,Owner of Karrick Limited
Rahmi Koç,Rahmi Koç,http://dbpedia.org/resource/Turkish_people,http://dbpedia.org/resource/Turkish_people,10/9/1930,10/9/1930,http://dbpedia.org/resource/Rahmi_Koç__PersonFunction__1,Businessman
Sanjay Kirloskar,Sanjay Kirloskar,http://dbpedia.org/resource/India,Indian,3/22/1957,3/22/1957,http://dbpedia.org/resource/Chairperson,http://dbpedia.org/resource/Chairman
Sanjay Kirloskar,Sanjay Kirloskar,http://dbpedia.org/resource/India,Indian,3/22/1957,3/22/1957,http://dbpedia.org/resource/Sanjay_Kirloskar__PersonFunction__1,http://dbpedia.org/resource/Chairman
Sanjay Kirloskar,Sanjay Kirloskar,http://dbpedia.org/resource/India,Indian,3/22/1957,3/22/1957,http://dbpedia.org/resource/Chairperson,http://dbpedia.org/resource/Kirloskar_Brothers_Ltd
Sanjay Kirloskar,Sanjay Kirloskar,http://dbpedia.org/resource/India,Indian,3/22/1957,3/22/1957,http://dbpedia.org/resource/Sanjay_Kirloskar__PersonFunction__1,http://dbpedia.org/resource/Kirloskar_Brothers_Ltd
Sanjay Kirloskar,Sanjay Kirloskar,http://dbpedia.org/resource/India,Indian,3/22/1957,3/22/1957,http://dbpedia.org/resource/Chairperson,http://dbpedia.org/resource/Managing_Director
Sanjay Kirloskar,Sanjay Kirloskar,http://dbpedia.org/resource/India,Indian,3/22/1957,3/22/1957,http://dbpedia.org/resource/Sanjay_Kirloskar__PersonFunction__1,http://dbpedia.org/resource/Managing_Director
Heather Reisman,Heather Reisman,http://dbpedia.org/resource/Canadians,http://dbpedia.org/resource/Canadians,8/28/1948,8/28/1948,http://dbpedia.org/resource/Indigo_Books_and_Music,CEO of Indigo Books and Music
Heather Reisman,Heather Reisman,http://dbpedia.org/resource/Canadians,http://dbpedia.org/resource/Canadians,8/28/1948,8/28/1948,http://dbpedia.org/resource/Kobo_Inc.,CEO of Indigo Books and Music
Heather Reisman,Heather Reisman,http://dbpedia.org/resource/Canadians,http://dbpedia.org/resource/Canadians,8/28/1948,8/28/1948,http://dbpedia.org/resource/Heather_Reisman__PersonFunction__1,CEO of Indigo Books and Music
Heather Reisman,Heather Reisman,http://dbpedia.org/resource/Canadians,http://dbpedia.org/resource/Canadians,8/28/1948,8/28/1948,http://dbpedia.org/resource/Indigo_Books_and_Music,Co-founder and past Chair of Kobo
Heather Reisman,Heather Reisman,http://dbpedia.org/resource/Canadians,http://dbpedia.org/resource/Canadians,8/28/1948,8/28/1948,http://dbpedia.org/resource/Kobo_Inc.,Co-founder and past Chair of Kobo
Heather Reisman,Heather Reisman,http://dbpedia.org/resource/Canadians,http://dbpedia.org/resource/Canadians,8/28/1948,8/28/1948,http://dbpedia.org/resource/Heather_Reisman__PersonFunction__1,Co-founder and past Chair of Kobo
Edmond Safra,Edmond Safra,http://dbpedia.org/resource/Lebanese_people,Brazilian,8/6/1932,8/6/1932,http://dbpedia.org/resource/Edmond_Safra__PersonFunction__1,Banker
Edmond Safra,Edmond Safra,http://dbpedia.org/resource/Lebanese_people,Lebanese,8/6/1932,8/6/1932,http://dbpedia.org/resource/Edmond_Safra__PersonFunction__1,Banker
Erik Penser,Erik Penser,http://dbpedia.org/resource/Sweden,Swedish,8/22/1942,8/22/1942,http://dbpedia.org/resource/Erik_Penser__PersonFunction__1,Financier
Ernest Gallo,Ernest Gallo,http://dbpedia.org/resource/United_States,American,3/18/1909,3/18/1909,http://dbpedia.org/resource/Ernest_Gallo__PersonFunction__1,"vintner, philanthropist"
Ernestina Herrera de Noble,Ernestina Herrera de Noble,http://dbpedia.org/resource/Argentines,Argentine,6/7/1925,6/7/1925,http://dbpedia.org/resource/Clarín_Group,Grupo Clarín
Ernestina Herrera de Noble,Ernestina Herrera de Noble,http://dbpedia.org/resource/Argentines,Argentine,6/7/1925,6/7/1925,http://dbpedia.org/resource/Ernestina_Herrera_de_Noble__PersonFunction__1,Grupo Clarín
Frank Stronach,Frank Stronach,http://dbpedia.org/resource/Austria,Austrian and Canadian,9/6/1932,9/6/1932,http://dbpedia.org/resource/Frank_Stronach__PersonFunction__1,Businessman
Frank Stronach,Frank Stronach,http://dbpedia.org/resource/Austria,Austrian and Canadian,9/6/1932,9/6/1932,http://dbpedia.org/resource/Frank_Stronach__PersonFunction__1,Racehorse owner/breeder
Frank Stronach,Frank Stronach,http://dbpedia.org/resource/Canadians,Austrian and Canadian,9/6/1932,9/6/1932,http://dbpedia.org/resource/Frank_Stronach__PersonFunction__1,Businessman
Frank Stronach,Frank Stronach,http://dbpedia.org/resource/Canadians,Austrian and Canadian,9/6/1932,9/6/1932,http://dbpedia.org/resource/Frank_Stronach__PersonFunction__1,Racehorse owner/breeder
Galen Weston,Galen Weston,http://dbpedia.org/resource/Canadians,,10/29/1940,10/29/1940,http://dbpedia.org/resource/Galen_Weston__PersonFunction__1,Businessman
Galen Weston,Galen Weston,http://dbpedia.org/resource/Canadians,British,10/29/1940,10/29/1940,http://dbpedia.org/resource/Galen_Weston__PersonFunction__1,Businessman
Galen Weston,Galen Weston,http://dbpedia.org/resource/Canadians,Canadian,10/29/1940,10/29/1940,http://dbpedia.org/resource/Galen_Weston__PersonFunction__1,Businessman
Isaac Saba Raffoul,Isaac Saba Raffoul,http://dbpedia.org/resource/Mexico,Mexican,10/17/1923,10/17/1923,http://dbpedia.org/resource/Isaac_Saba_Raffoul__PersonFunction__1,Businessman
J. Christopher Burch,J. Christopher Burch,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/United_States,3/28/1953,3/28/1953,http://dbpedia.org/resource/J._Christopher_Burch__PersonFunction__1,Founder Burch Creative Capital
Jacques Servier,Jacques Servier,http://dbpedia.org/resource/France,http://dbpedia.org/resource/France,2/9/1922,2/9/1922,http://dbpedia.org/resource/Laboratoires_Servier,Businessman
Jacques Servier,Jacques Servier,http://dbpedia.org/resource/France,http://dbpedia.org/resource/France,2/9/1922,2/9/1922,http://dbpedia.org/resource/Jacques_Servier__PersonFunction__1,Businessman
Jacques Servier,Jacques Servier,http://dbpedia.org/resource/France,http://dbpedia.org/resource/France,2/9/1922,2/9/1922,http://dbpedia.org/resource/Laboratoires_Servier,Founder of Laboratoires Servier
Jacques Servier,Jacques Servier,http://dbpedia.org/resource/France,http://dbpedia.org/resource/France,2/9/1922,2/9/1922,http://dbpedia.org/resource/Jacques_Servier__PersonFunction__1,Founder of Laboratoires Servier
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Americans,http://dbpedia.org/resource/Americans,7/6/1938,7/6/1938,http://dbpedia.org/resource/Bebe_Stores,"Chairman, Bebe Stores"
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Americans,http://dbpedia.org/resource/Americans,7/6/1938,7/6/1938,http://dbpedia.org/resource/Manny_Mashouf__PersonFunction__1,"Chairman, Bebe Stores"
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Iranian_peoples,http://dbpedia.org/resource/Americans,7/6/1938,7/6/1938,http://dbpedia.org/resource/Bebe_Stores,"Chairman, Bebe Stores"
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Iranian_peoples,http://dbpedia.org/resource/Americans,7/6/1938,7/6/1938,http://dbpedia.org/resource/Manny_Mashouf__PersonFunction__1,"Chairman, Bebe Stores"
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Americans,http://dbpedia.org/resource/Iranian_peoples,7/6/1938,7/6/1938,http://dbpedia.org/resource/Bebe_Stores,"Chairman, Bebe Stores"
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Americans,http://dbpedia.org/resource/Iranian_peoples,7/6/1938,7/6/1938,http://dbpedia.org/resource/Manny_Mashouf__PersonFunction__1,"Chairman, Bebe Stores"
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Iranian_peoples,http://dbpedia.org/resource/Iranian_peoples,7/6/1938,7/6/1938,http://dbpedia.org/resource/Bebe_Stores,"Chairman, Bebe Stores"
Manny Mashouf,Manny Mashouf,http://dbpedia.org/resource/Iranian_peoples,http://dbpedia.org/resource/Iranian_peoples,7/6/1938,7/6/1938,http://dbpedia.org/resource/Manny_Mashouf__PersonFunction__1,"Chairman, Bebe Stores"
Mark Pincus,Mark Pincus,http://dbpedia.org/resource/Americans,http://dbpedia.org/resource/Americans,2/13/1966,2/13/1966,http://dbpedia.org/resource/Zynga,Executive Chairman at Zynga
Mark Pincus,Mark Pincus,http://dbpedia.org/resource/Americans,http://dbpedia.org/resource/Americans,2/13/1966,2/13/1966,http://dbpedia.org/resource/Mark_Pincus__PersonFunction__1,Executive Chairman at Zynga
Per-Erik Burud,Per-Erik Burud,http://dbpedia.org/resource/Norway,Norwegian,10/15/1962,10/15/1962,http://dbpedia.org/resource/Per-Erik_Burud__PersonFunction__1,Businesses
Peter B. Lewis,Peter B. Lewis,http://dbpedia.org/resource/Americans,http://dbpedia.org/resource/Americans,11/11/1933,11/11/1933,http://dbpedia.org/resource/Peter_B._Lewis__PersonFunction__1,Businessman
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/British_Raj,2/19/1940,2/19/1940,http://dbpedia.org/resource/Hashoo_Group,
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/British_Raj,2/19/1940,2/19/1940,http://dbpedia.org/resource/Sadruddin_Hashwani__PersonFunction__1,
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/British_Raj,2/19/1940,2/19/1940,http://dbpedia.org/resource/Hashoo_Group,Businessman
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/British_Raj,2/19/1940,2/19/1940,http://dbpedia.org/resource/Sadruddin_Hashwani__PersonFunction__1,Businessman
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/Pakistani_people,2/19/1940,2/19/1940,http://dbpedia.org/resource/Hashoo_Group,
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/Pakistani_people,2/19/1940,2/19/1940,http://dbpedia.org/resource/Sadruddin_Hashwani__PersonFunction__1,
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/Pakistani_people,2/19/1940,2/19/1940,http://dbpedia.org/resource/Hashoo_Group,Businessman
Sadruddin Hashwani,Sadruddin Hashwani,http://dbpedia.org/resource/Pakistanis,http://dbpedia.org/resource/Pakistani_people,2/19/1940,2/19/1940,http://dbpedia.org/resource/Sadruddin_Hashwani__PersonFunction__1,Businessman
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Russia,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/DST_Global,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Russia,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/Venture_capital,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Russia,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/Mail.ru_Group,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Russia,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/Yuri_Milner__PersonFunction__1,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Israel,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/DST_Global,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Israel,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/Venture_capital,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Israel,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/Mail.ru_Group,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Yuri Milner,Yuri Milner,http://dbpedia.org/resource/Israel,"Israeli, Russian",11/11/1961,11/11/1961,http://dbpedia.org/resource/Yuri_Milner__PersonFunction__1,"Businessman: venture capitalist, founder of Digital Sky Technologies and DST Global"
Edmund Ansin,Edmund Ansin,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/United_States,3/9/1936,3/9/1936,http://dbpedia.org/resource/Edmund_Ansin__PersonFunction__1,businessman
Giorgos Angelopoulos,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Giorgos Angelopoulos,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Giorgos Angelopoulos,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Giorgos Angelopoulos,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Giorgos Angelopoulos,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Giorgos Angelopoulos,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Giorgos Angelopoulos,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Co–Owner of  Olympiacos B.C.
Giorgos Angelopoulos,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Co–Owner of  Olympiacos B.C.
Giorgos Angelopoulos,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Co–Owner of  Olympiacos B.C.
Giorgos Angelopoulos,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Co–Owner of  Olympiacos B.C.
Giorgos Angelopoulos,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Co–Owner of  Olympiacos B.C.
Giorgos Angelopoulos,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Co–Owner of  Olympiacos B.C.
Γιώργος Αγγελόπουλος,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Γιώργος Αγγελόπουλος,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Γιώργος Αγγελόπουλος,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Γιώργος Αγγελόπουλος,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Γιώργος Αγγελόπουλος,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Γιώργος Αγγελόπουλος,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Executive Chairman of  Arcadia Shipmanagement Co. Ltd.
Γιώργος Αγγελόπουλος,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Co–Owner of  Olympiacos B.C.
Γιώργος Αγγελόπουλος,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Arcadia_Shipmanagement,Co–Owner of  Olympiacos B.C.
Γιώργος Αγγελόπουλος,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Co–Owner of  Olympiacos B.C.
Γιώργος Αγγελόπουλος,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Olympiacos_B.C.,Co–Owner of  Olympiacos B.C.
Γιώργος Αγγελόπουλος,Giorgos Angelopoulos,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Co–Owner of  Olympiacos B.C.
Γιώργος Αγγελόπουλος,Γιώργος Αγγελόπουλος,http://dbpedia.org/resource/Greece,http://dbpedia.org/resource/Greece,7/17/1974,7/17/1974,http://dbpedia.org/resource/Giorgos_Angelopoulos__PersonFunction__1,Co–Owner of  Olympiacos B.C.
Dr. Kallam Anji Reddy,Dr. Kallam Anji Reddy,http://dbpedia.org/resource/India,Indian,2/1/1939,2/1/1939,http://dbpedia.org/resource/Dr._Reddy's_Laboratories,"Former Chairman, Dr. Reddy's Laboratories"
Dr. Kallam Anji Reddy,Dr. Kallam Anji Reddy,http://dbpedia.org/resource/India,Indian,2/1/1939,2/1/1939,http://dbpedia.org/resource/Kallam_Anji_Reddy__PersonFunction__1,"Former Chairman, Dr. Reddy's Laboratories"
Panagiotis Angelopoulos,Panagiotis Angelopoulos,http://dbpedia.org/resource/Greek_language,Greek,1/21/1973,1/21/1973,http://dbpedia.org/resource/Arcadia_Shipmanagement,Executive vice chair of Arcadia Shipmanagement Co. Ltd.
Panagiotis Angelopoulos,Παναγιώτης Αγγελόπουλος,http://dbpedia.org/resource/Greek_language,Greek,1/21/1973,1/21/1973,http://dbpedia.org/resource/Arcadia_Shipmanagement,Executive vice chair of Arcadia Shipmanagement Co. Ltd.
